OBJECTID,PA_MCPI,POINT_X,POINT_Y,POINT_X_SP,POINT_Y_SP
378,005175334000,-77.35695431,39.05162829,11807525.9577083,7068058.72916667
379,005175427000,-77.35692201,39.05141941,11807536.0752083,7067982.76979166
380,005175519000,-77.35689115,39.05120753,11807545.8014583,7067905.714375
381,005175611000,-77.35686493,39.05098536,11807554.2539583,7067824.895
382,005175702000,-77.35683628,39.05075601,11807563.43,7067741.47208333
383,005176399000,-77.35657545,39.05340307,11807625.4910417,7068706.425
384,005176482000,-77.35655795,39.05292238,11807632.6425,7068531.424375
385,005176490000,-77.35656984,39.05313986,11807628.279375,7068610.58562501
386,005176668000,-77.35649894,39.05254159,11807651.12625,7068392.953125
387,005176759000,-77.35645645,39.05229691,11807664.3029167,7068303.99312501
388,005176851000,-77.3564141,39.05207896,11807677.316875,7068224.76895833
389,005176943000,-77.35637142,39.05186094,11807690.425625,7068145.51895833
